Thematic;Parent;Created;INDEX
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/ASTER-GDEM/VER1-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.ASTER-GDEM.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/ASTER-GDEM/VER2-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.ASTER-GDEM.VER2-0
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/COP-DEM/VER0-1;Fri Jan 10 10:57:06 2020;BaseData.Elevation.EUROPE.COP-DEM.VER0-1
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/EMODnet/VER2018;Thu Apr 11 11:46:16 2019;BaseData.Elevation.EUROPE.EMODnet.VER2018
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/GSGRDA-25m/VER0-1;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.GSGRDA-25m.VER0-1
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/GSGRDA-25m/VER1-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.GSGRDA-25m.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/GSGRDA-25m/VER1-2;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.GSGRDA-25m.VER1-2
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/SRTM-100m/LATEST;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.SRTM-100m.LATEST
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/SRTM-100m/VER2-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.SRTM-100m.VER2-0
BaseData;/eos/jeodpp/data/base/Elevation/EUROPE/SRTM-100m/VER4-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.EUROPE.SRTM-100m.VER4-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/ASTER-GDEM/LATEST;Wed Mar 22 18:06:14 2017;BaseData.Elevation.GLOBAL.ASTER-GDEM.LATEST
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/ASTER-GDEM/VER2-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.GLOBAL.ASTER-GDEM.VER2-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/AW3D30/VER1-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.GLOBAL.AW3D30.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/AW3D30/VER2-1;Wed Jul 11 14:14:29 2018;BaseData.Elevation.GLOBAL.AW3D30.VER2-1
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/COP-DEM/GLO-90-DGED/VER1-0;Wed Dec 18 09:25:46 2019;BaseData.Elevation.GLOBAL.COP-DEM.GLO-90-DGED.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/EGM2008/VER1-0;Thu Oct 24 10:03:56 2019;BaseData.Elevation.GLOBAL.EGM2008.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/ETOPO1/1arcmin/VER1-0;Thu Sep 19 15:01:09 2019;BaseData.Elevation.GLOBAL.ETOPO1.1arcmin.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/GEBCO/VER2014;Wed May 31 16:26:02 2017;BaseData.Elevation.GLOBAL.GEBCO.VER2014
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/GEBCO/VER2019;Fri Apr 26 12:38:01 2019;BaseData.Elevation.GLOBAL.GEBCO.VER2019
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/GTOPO30/VER1-0;Fri Jan 11 13:15:33 2019;BaseData.Elevation.GLOBAL.GTOPO30.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/MERIT-DEM/VER1-0;Wed Jun 21 13:20:35 2017;BaseData.Elevation.GLOBAL.MERIT-DEM.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/MERIT-DEM/VER1-02;Tue Oct  9 13:50:25 2018;BaseData.Elevation.GLOBAL.MERIT-DEM.VER1-02
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/NASADEM/VER1-0;Fri Aug 10 09:16:03 2018;BaseData.Elevation.GLOBAL.NASADEM.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/SRTM/1arcsec/VER1-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.GLOBAL.SRTM.1arcsec.VER1-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/SRTM/3arcsec/LATEST;Wed Mar 22 18:06:14 2017;BaseData.Elevation.GLOBAL.SRTM.3arcsec.LATEST
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/SRTM/3arcsec/VER3-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.GLOBAL.SRTM.3arcsec.VER3-0
BaseData;/eos/jeodpp/data/base/Elevation/GLOBAL/SRTM/3arcsec/VER4-0;Wed Mar 22 18:06:14 2017;BaseData.Elevation.GLOBAL.SRTM.3arcsec.VER4-0
